% 1. Title: Base de Dados Sintética de Classificação de Usabilidade - Agenda Fácil
% 2. Sources: Gerado via LLM com base nas regras do TP2
% 3. Date: 19 de Outubro de 2025
%
@RELATION usabilidade_agenda_facil

@ATTRIBUTE tempo_agendar NUMERIC
@ATTRIBUTE passos_concluir NUMERIC
@ATTRIBUTE usou_lista_clientes {sim, nao}
@ATTRIBUTE ativou_lembrete {sim, nao}
@ATTRIBUTE erros_fluxo NUMERIC
@ATTRIBUTE nivel_usabilidade {Alta, Media, Baixa}

@DATA
35,5,sim,sim,0,Alta
130,15,nao,nao,3,Baixa
80,9,sim,nao,1,Media
42,6,sim,sim,0,Alta
110,12,nao,sim,2,Media
150,20,nao,nao,1,Baixa
65,8,sim,sim,1,Media
95,10,nao,nao,2,Media
30,4,sim,sim,0,Alta
121,18,nao,nao,0,Baixa
55,7,sim,nao,1,Media
40,5,sim,sim,0,Alta
90,11,nao,sim,2,Media
75,9,sim,nao,1,Media
145,16,nao,nao,4,Baixa
38,6,sim,sim,0,Alta
100,10,nao,nao,1,Media
125,14,sim,nao,2,Baixa
44,5,sim,sim,0,Alta
70,8,nao,sim,1,Media
160,22,nao,nao,3,Baixa
33,4,sim,sim,0,Alta
85,9,sim,nao,2,Media
115,13,nao,sim,1,Media
135,17,nao,nao,2,Baixa
41,6,sim,sim,0,Alta
60,7,nao,nao,1,Media
105,11,sim,nao,2,Media
28,4,sim,sim,0,Alta
133,15,nao,nao,5,Baixa
49,6,nao,sim,1,Media
98,10,sim,nao,2,Media
39,5,sim,sim,0,Alta
128,14,nao,nao,1,Baixa
77,9,sim,nao,1,Media
142,19,nao,sim,3,Baixa
31,4,sim,sim,0,Alta
88,10,nao,nao,2,Media
118,12,sim,nao,1,Media
155,21,nao,nao,4,Baixa
43,6,sim,sim,0,Alta
68,8,nao,sim,1,Media
93,11,sim,nao,2,Media
122,13,nao,nao,0,Baixa
36,5,sim,sim,0,Alta
82,9,nao,nao,1,Media
138,16,sim,sim,3,Baixa
40,6,sim,sim,0,Alta
108,12,nao,nao,2,Media
72,8,sim,nao,1,Media
148,18,nao,nao,2,Baixa
34,5,sim,sim,0,Alta
58,7,nao,sim,1,Media
112,13,sim,nao,2,Media
124,14,nao,nao,3,Baixa
37,6,sim,sim,0,Alta
96,10,nao,nao,1,Media
63,8,sim,sim,2,Media
131,15,nao,sim,1,Baixa
42,5,sim,sim,0,Alta
78,9,nao,nao,1,Media
140,17,sim,nao,4,Baixa
32,4,sim,sim,0,Alta
81,10,nao,sim,2,Media
119,13,nao,nao,1,Media
165,23,nao,nao,3,Baixa
44,6,sim,sim,0,Alta
67,8,sim,nao,1,Media
103,11,nao,sim,2,Media
29,4,sim,sim,0,Alta
129,16,nao,nao,0,Baixa
52,7,sim,nao,1,Media
91,10,nao,sim,2,Media
38,5,sim,sim,0,Alta
136,15,nao,nao,4,Baixa
73,9,sim,nao,1,Media
146,20,nao,sim,3,Baixa
35,5,sim,sim,0,Alta
86,10,nao,nao,2,Media
114,12,sim,nao,1,Media
152,21,nao,nao,5,Baixa
41,6,sim,sim,0,Alta
69,8,nao,sim,1,Media
99,11,sim,nao,2,Media
123,14,nao,nao,1,Baixa
33,5,sim,sim,0,Alta
84,9,nao,nao,1,Media
139,17,sim,sim,3,Baixa
40,6,sim,sim,0,Alta
107,12,nao,nao,2,Media
71,8,sim,nao,1,Media
149,19,nao,nao,2,Baixa
36,5,sim,sim,0,Alta
59,7,nao,sim,1,Media
111,13,sim,nao,2,Media
126,14,nao,nao,4,Baixa
39,6,sim,sim,0,Alta
94,10,nao,nao,1,Media
62,8,sim,sim,2,Media
134,16,nao,sim,1,Baixa
43,5,sim,sim,0,Alta
76,9,nao,nao,1,Media
143,18,sim,nao,3,Baixa
31,4,sim,sim,0,Alta
83,10,nao,sim,2,Media
117,13,nao,nao,1,Media
158,22,nao,nao,4,Baixa
45,6,sim,sim,1,Media
66,8,sim,nao,1,Media
101,11,nao,sim,2,Media
28,4,sim,sim,0,Alta
127,15,nao,nao,0,Baixa
54,7,sim,nao,1,Media
92,10,nao,sim,2,Media
37,5,sim,sim,0,Alta
137,16,nao,nao,5,Baixa
74,9,sim,nao,1,Media
